step,wallclock_sec,split,loss,tokens_per_sec,lr
1,7.341793,train,10.391749,167370.568704,4.00000000e-03
50,13.515759,train,6.909772,199029.296347,4.00000000e-03
100,18.601745,train,6.604621,241605.062776,4.00000000e-03
150,23.688161,train,6.324178,241584.621339,4.00000000e-03
200,28.773857,train,6.096840,241618.835799,4.00000000e-03
250,33.859966,train,5.977499,241599.264078,4.00000000e-03
300,38.945835,train,5.828125,241610.623898,4.00000000e-03
300,42.531974,val,5.926279,,4.00000000e-03
350,47.618553,train,5.799529,141685.677503,4.00000000e-03
400,52.704868,train,5.750824,241589.445433,4.00000000e-03
450,57.791660,train,5.700362,241566.787454,4.00000000e-03
500,62.878263,train,5.447578,241575.777668,4.00000000e-03
550,67.964589,train,5.502500,241588.890539,4.00000000e-03
600,73.051039,train,5.410847,241583.024674,4.00000000e-03
600,73.607625,val,5.467456,,4.00000000e-03
650,78.695517,train,5.457218,217699.517602,4.00000000e-03
700,83.782985,train,5.316715,241534.693096,4.00000000e-03
750,88.869671,train,5.349854,241571.791999,4.00000000e-03
800,93.956433,train,5.329219,241568.236713,4.00000000e-03
850,99.043723,train,5.205101,241543.126237,4.00000000e-03
900,104.131437,train,5.177381,241523.023505,4.00000000e-03
900,104.686574,val,5.195287,,4.00000000e-03
950,109.774367,train,5.221134,217759.212552,4.00000000e-03
1000,114.863994,train,5.160657,241432.240697,4.00000000e-03
1050,119.952373,train,5.115204,241491.438642,4.00000000e-03
1100,125.041822,train,5.088364,241440.644064,4.00000000e-03
1150,130.130059,train,4.973544,241498.216639,4.00000000e-03
1200,135.218640,train,4.908641,241481.832416,4.00000000e-03
1200,135.773570,val,5.044109,,4.00000000e-03
1250,140.861974,train,5.025260,217743.655599,4.00000000e-03
1300,145.949234,train,4.972064,241544.563891,4.00000000e-03
1350,151.036830,train,4.960865,241528.569533,4.00000000e-03
1400,156.124546,train,4.984121,241522.944278,4.00000000e-03
1450,161.213154,train,4.975959,241480.587849,4.00000000e-03
1500,166.299724,train,4.999222,241577.294974,4.00000000e-03
1500,166.853897,val,4.894932,,4.00000000e-03
