step,wallclock_sec,split,loss,tokens_per_sec
2800,1490.091353,val,1.589320,
2820,1500.871468,train,1.584969,46299.298432
2840,1511.050068,train,1.628819,64386.059896
2860,1521.228588,train,1.579734,64386.575687
2880,1531.405860,train,1.593232,64394.464392
2900,1541.585411,train,1.579537,64380.051996
2920,1551.764320,train,1.567997,64384.105396
2940,1561.942855,train,1.605039,64386.476147
2960,1572.123023,train,1.540954,64376.152890
2980,1582.303259,train,1.624466,64375.715665
3000,1592.483306,train,1.583493,64376.914280
3000,1595.856272,val,1.585440,
3020,1606.630955,train,1.622091,46322.890658
3040,1616.809085,train,1.620703,64389.037117
3060,1626.988858,train,1.623960,64378.643680
3080,1637.168523,train,1.580359,64379.328229
3100,1647.347337,train,1.526669,64384.711640
3120,1657.527854,train,1.581771,64373.939687
3140,1667.708198,train,1.581763,64375.035716
3160,1677.886555,train,1.602073,64387.605784
3180,1688.065223,train,1.565282,64385.631585
3200,1698.243735,train,1.565950,64386.625456
3200,1701.617237,val,1.594469,
3220,1712.386978,train,1.600789,46337.321402
3240,1722.565377,train,1.533743,64387.335814
3260,1732.744022,train,1.540453,64385.779382
3280,1742.924773,train,1.551559,64372.457770
3300,1753.104889,train,1.575008,64376.477044
3320,1763.285010,train,1.606879,64376.445382
3340,1773.463807,train,1.591311,64384.820222
3360,1783.641735,train,1.565903,64390.317678
3380,1793.821066,train,1.560314,64381.437755
3400,1804.000253,train,1.559521,64382.354590
3400,1807.374574,val,1.576429,
3420,1818.149987,train,1.565572,46316.065737
3440,1828.329163,train,1.588956,64382.420941
3460,1838.508582,train,1.561798,64380.882841
3480,1848.687675,train,1.564796,64382.944214
3500,1858.867379,train,1.500564,64379.083961
3520,1869.047603,train,1.546453,64375.792556
3540,1879.225610,train,1.541939,64389.821436
3560,1889.402645,train,1.556803,64395.965425
3580,1899.580693,train,1.572449,64389.552955
3600,1909.758607,train,1.570952,64390.406671
3600,1913.132658,val,1.544303,
3620,1923.913227,train,1.610620,46300.075951
3640,1934.094212,train,1.547001,64370.981951
3660,1944.275393,train,1.493084,64369.744366
3680,1954.456945,train,1.550707,64367.397455
3700,1964.638602,train,1.533507,64366.735769
3720,1974.819578,train,1.525859,64371.034712
3740,1985.000766,train,1.606830,64369.699144
3760,1995.183087,train,1.568829,64362.535358
3780,2005.366336,train,1.576987,64356.673484
3800,2015.549191,train,1.529576,64359.156739
3800,2018.924563,val,1.558160,
3820,2029.711223,train,1.534532,46275.847082
3840,2039.891449,train,1.550788,64375.778987
3860,2050.071287,train,1.547526,64378.235069
3880,2060.249030,train,1.544218,64391.486669
3900,2070.427713,train,1.563998,64385.536573
3920,2080.605288,train,1.534273,64392.550109
3940,2090.782495,train,1.496932,64394.879243
3960,2100.959018,train,1.601331,64399.207595
3980,2111.135690,train,1.522057,64398.261614
4000,2121.310956,train,1.543123,64407.162780
4000,2124.683019,val,1.552759,
4020,2135.463017,train,1.557082,46308.448616
4040,2145.639355,train,1.540816,64400.373891
4060,2155.817748,train,1.533530,64387.378044
4080,2165.992486,train,1.545278,64410.501162
4100,2176.168267,train,1.579752,64403.904719
4120,2186.345775,train,1.560196,64392.973987
4140,2196.523312,train,1.581873,64392.789954
4160,2206.700622,train,1.551039,64394.224534
4180,2216.876415,train,1.522589,64403.827761
4200,2227.053962,train,1.518611,64392.723582
4200,2230.426492,val,1.556111,
4220,2241.201740,train,1.539893,46322.469116
4240,2251.376914,train,1.610724,64407.743802
